Date,Quantile_0.025,Quantile_0.25,Quantile_0.5,Quantile_0.75,Quantile_0.975,Median,Mean,Std,Min,Max,Region,District,Day,Month,Year
2017-11-21,0.013071661652065813,0.028514644596725702,0.06755482032895088,0.26735174655914307,0.8200736135244366,0.06755482,0.18441595,0.22817299,0.0042749518,0.9947791,Khulna,Bagerhat,21,11,2017
2017-11-29,0.015436257980763913,0.031159392092376947,0.0705401748418808,0.2683798000216484,0.8061669930815692,0.070540175,0.18478695,0.22448675,0.0065478575,0.9962096,Khulna,Bagerhat,29,11,2017
2020-09-01,0.01001583959441632,0.032400899566709995,0.12997199594974518,0.39060118049383163,0.8551173403859137,0.129972,0.23707306,0.25064212,0.0024940656,0.9981609,Khulna,Bagerhat,1,9,2020
2020-01-13,0.024862249754369257,0.05462153069674969,0.10564626008272171,0.2753937244415283,0.7533449918031679,0.10564626,0.19589612,0.2027398,0.0076231323,0.9973591,Khulna,Bagerhat,13,1,2020
2017-02-06,0.02307908274233341,0.04615322407335043,0.1099480427801609,0.23737258464097977,0.7320934891700743,0.10994804,0.18018973,0.18963356,0.009669673,0.9975383,Khulna,Bagerhat,6,2,2017
2019-12-07,0.018078315537422895,0.036025925539433956,0.08200737088918686,0.28433792293071747,0.8216311082243917,0.08200737,0.1954729,0.22906794,0.0070954743,0.99361986,Khulna,Bagerhat,7,12,2019
2017-03-02,0.022857586247846486,0.044613986276090145,0.09304450824856758,0.2501281276345253,0.7307578906416892,0.093044505,0.17580149,0.18938956,0.007844632,0.9959473,Khulna,Bagerhat,2,3,2017
2020-01-29,0.03019258757121861,0.059868477284908295,0.11672989651560783,0.25872067362070084,0.7411934748291965,0.1167299,0.193816,0.19346887,0.010104624,0.9969805,Khulna,Bagerhat,29,1,2020
2018-09-26,0.011522596422582864,0.03482532687485218,0.09889062121510506,0.3089985251426697,0.8402364149689674,0.09889062,0.21028616,0.23985742,0.0033578642,0.9949805,Khulna,Bagerhat,26,9,2018
2019-03-26,0.02088700677268207,0.04010730888694525,0.08627136796712875,0.2628551572561264,0.8028091713786123,0.08627137,0.19087979,0.21994436,0.008943134,0.99105585,Khulna,Bagerhat,26,3,2019
2018-03-18,0.021926218550652264,0.046084233559668064,0.1097571961581707,0.26906566321849823,0.7805466964840888,0.1097572,0.19475208,0.20639819,0.009615086,0.9947513,Khulna,Bagerhat,18,3,2018
2018-12-07,0.01649653525091708,0.037087203934788704,0.07370346784591675,0.2488226294517517,0.7832447677850722,0.07370347,0.17962362,0.2145891,0.008329265,0.9955397,Khulna,Bagerhat,7,12,2018
